Class,reclean_text
normal,وزير طاقة خارجي لبناني جبران سيل قال سلسل تغريد عقب اختتام قمه عربي تنمويه اقتصادي اجتماعي مسن تج
normal,سوريه بلد حضارة ربط بحيون
normal,اخي الحاج شعر محرج انتقاد تصريح جبران سيل داعي لأن تهاجم منتقد
normal,فيك عاش كب فتن ليل نهار كر قل موضوع سيد
hate,بطل قاتل جاذف حية حي واطي عيب شوم
normal,لع وهيك شقيق قدم أكبر خدم شقيقة
normal,ترحم وسام حسن مشارك قتل الحريري حريري عارف إغتال حسن حتي ثءار
normal,كلنا معك معالي وزير ملك جبران باسيل
normal,مبارح مريض نفسي كنت عم تدافع العماد عثمان لنوو حد تدخل نقل ضابط دروز لازم أفهم انو حد اكبر دوله كلو الوا حساب
hate,انو غريب اوجعك راسك قوتج بيكونو رأس
hate,طاءفي روح اسال اهل قانا هنى بخبروك
normal,نهف انو باسيل مقابل قال انو اسراءيل احترم قرار بينما لبنان احترم
normal,جبران سيل رقم صعب الرءيس عون رقم أصعب أثبت عودة منفي آن
normal,دين عام مليار
hate,غرد جحش ظن أءن حصان تكلم العوني موضوعي رد كبهيم حقير جربان اصله
normal,مين شد مشدو مين مغطيه
hate,فلسطيني لبنان شامي انتو يوم تشرب بول بعير أكل صحنة ابزقى منو
normal,معليش رح تشكل نوابا فاشل
hate,علي رايه يوسف علان ربي اغفر أعرف غفر اقترح نعرض أمك طبيب طرى شاف جحش ابوك
normal,قال معالي شو سب نتذكر مين مشنقي طرابلس مين تابع نتذكر صورة
hate,الله وصاير شعراوي واوي عرفة حمار حكى كلمة حافظ تسب عالم
hate,مشكلة بوق بانك سلبي سليقة أحب تهاجم آخر ظهر جهه نفذ طلب مشغل
normal,صحيح وجب حضر زرع ورود ضمد جرح واكب شهيد سفاح قاتل طفل كفاكم كذب
hate,كول هوا
normal,الله اكبر اللي استحو ماتو عقاب وهاب وهاب قاتل ابو دياب
normal,ضياع هويه سوري نحنا سوري عربي سوري كرد سوري اشور سريان تركمان
hate,هيدي مش زير هيدي شيطان حكوم عامل ال عمل تجميل بشع محلي مسخ
normal,الاسد حضور خراف
normal,قال اسراءيل حق إمان مين عم ترجمل آخ
normal,مش بسام حلاوي
hate,كلب رخي ماهى مشكلة عيش أوصى ياولخ قطر سبه لأن فالح سب
hate,كول هوا بترتاح
hate,نبى بري كذاب عوب ماسوني عم لعب سلمناه فكرت إنسان شريف لنهاي طلع ماسوني عميل
normal,شو دخل هلق معلمك جبران سيل هوي حكى نسى وهاب شو حكى عنك فكر
normal,صدق وضع يدك جرح
normal,تداول احدكم شهيد محمد طالب توضيح تلفيق اتحف أكل سمك
hate,هههه داعشي طنط كول هوا لاك حريمه
normal,حد هاجم صحابي الجليل جبران سيل سلام الله
hate,ماحت شيخ عقل ياحماررر
normal,لاء رفيق هيدا الطبات ولي بيلزقو عالحيط
normal,مشكلة فقط أمركي بريطاني أدار
normal,خواجه مادورو أصل بناني اكيد ملزق كرسي ثمن انسال ليش فقر تعتير عندو
hate,فياض حقدك جبران سيل أضاع موضوعيتك
normal,كله أشبه مين بدو حاكم مين اسلطه شعب
